vit_bits,qformer_bits,llm_bits,METEOR,CIDEr,model_size
4,5,2,0.03816679850970886,0.004180429754729747,18011565568
4,5,3,0.20800549611357294,0.7936760412704565,20528885248
4,5,4,0.2684271879621022,1.1769199968051363,23046204928
4,5,5,0.2741510572230004,1.2177552194123182,25563524608
4,5,6,0.28128887015849,1.2691464532836039,28080844288
4,5,8,0.28232846393243993,1.2661784066985244,33115483648
4,5,16,0.28310202287995034,1.2694800484392854,53254041088
4,6,2,0.03947246512330218,0.004496874060880208,18116655616
4,6,3,0.20844173270297314,0.7959372573564164,20633975296
4,6,4,0.26820924509813787,1.1741282222425378,23151294976
4,6,5,0.2741500493132533,1.21868239273846,25668614656
4,6,6,0.28115868685524437,1.2662373768159405,28185934336
4,6,8,0.28178260704857505,1.25967838492472,33220573696
4,6,16,0.2832089336877907,1.2677578930557416,53359131136
4,8,2,0.03932832614478332,0.004533730593880283,18326835712
4,8,3,0.21092989137155516,0.8051917158643872,20844155392
4,8,4,0.2686142296604581,1.1791031207801064,23361475072
4,8,5,0.2742289723913308,1.2171637489140836,25878794752
4,8,6,0.2816999624424486,1.269949088841136,28396114432
4,8,8,0.28294566286056905,1.2685095577773473,33430753792
4,8,16,0.2839275915866569,1.2725369264593078,53569311232
4,16,2,0.039870783460907666,0.004488325986947271,19167556096
4,16,3,0.2107603494156979,0.8049525065074827,21684875776
4,16,4,0.268773824997628,1.1793997074725706,24202195456
4,16,5,0.2742171149298761,1.217838638892368,26719515136
4,16,6,0.2818531035064126,1.270626685213267,29236834816
4,16,8,0.28304734623205957,1.268790043613231,34271474176
4,16,16,0.28379253997143766,1.2723116809585964,54410031616
5,2,2,0.03539568644904178,0.003264698962190208,18680832640
5,2,3,0.19857547135910164,0.7180181623782547,21198152320
5,2,4,0.2488564578980053,1.0329624946451361,23715472000
5,2,5,0.25265624301184025,1.0707977126380381,26232791680
5,2,6,0.26038460954808534,1.1182626611582889,28750111360
5,2,8,0.25916154259240265,1.1127242409207425,33784750720
5,2,16,0.2597450882896447,1.115818110946458,53923308160
5,3,2,0.03852835005945664,0.005044279655373526,18785922688
